surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination_feces,abdomen,lesion_site,lesion_type,lesion_subtype,PossibleY,PossibleY2,PossibleY3
2,1,530334,38.3,40,24,1,1,3,3,3,1,,,1,1,0,0,0,2,1,1
1,9,5290409,39.1,164,84,4,1,6,2,4,4,1,2,3,,2208,0,0,1,1,2
2,1,528355,,,,2,1,3,2,3,2,2,1,3,3,0,0,0,2,2,1
1,1,526802,37.9,48,16,1,1,1,3,3,3,1,1,3,5,3124,0,0,1,2,1
1,1,529607,,60,,3,,,,4,2,2,1,3,4,2208,0,0,1,2,2
2,1,530051,,80,36,3,4,3,4,4,4,2,1,3,5,3205,0,0,1,2,3
2,9,5299629,38.3,90,,1,,1,5,3,1,2,1,3,,0,0,0,2,1,1
1,1,528548,38.1,66,12,3,3,5,3,3,1,2,1,2,5,2124,0,0,1,1,1
2,1,527927,39.1,72,52,2,,2,2,1,2,1,1,4,4,2111,0,0,1,2,1
1,1,528031,37.2,42,12,2,1,1,3,3,3,3,1,4,5,4124,0,0,2,2,1
2,9,5291329,38,92,28,1,1,2,1,3,2,3,,1,1,0,0,0,2,1,2
1,1,534917,38.2,76,28,3,1,1,3,4,1,2,2,4,4,2112,0,0,1,2,1
1,1,530233,37.6,96,48,3,1,4,5,3,3,2,3,4,,3207,0,0,1,2,2
1,9,5301219,,128,36,3,3,4,4,4,3,3,,4,5,1400,0,0,2,1,2
1,1,5290481,37.6,64,21,1,1,2,2,3,1,1,1,2,5,4205,0,0,1,1,1
2,1,532110,39.4,110,35,4,3,6,,3,3,,,,,0,0,0,2,2,1
1,1,530157,39.9,72,60,1,1,5,5,4,4,3,1,4,4,2111,0,0,1,2,1
2,1,529340,38.4,48,16,1,,1,1,3,1,2,3,4,3,0,0,0,2,2,1
1,1,521681,38.6,42,34,2,1,4,2,3,1,,,1,,3111,0,0,1,2,1
1,9,534998,38.3,130,60,,3,,2,4,,,,,,3111,0,0,1,2,1
1,1,533692,38.1,60,12,3,3,3,,4,3,3,2,,,3111,0,0,1,2,1
1,1,530526,38.3,72,30,4,3,3,3,3,3,2,1,3,5,3111,0,0,1,1,1
1,1,528653,37.8,48,12,3,1,1,,3,2,1,1,1,3,4122,0,0,2,1,1
2,1,535415,37.7,48,,2,1,1,1,1,1,1,1,,,0,0,0,2,2,1
2,1,529475,37.7,96,30,3,3,4,5,4,4,3,2,4,5,4205,0,0,1,2,2
2,1,530242,37.2,108,12,3,3,4,2,4,2,,3,3,3,2207,0,0,1,1,3
1,1,529427,37.2,60,,2,1,1,3,3,3,2,1,4,5,2209,0,0,1,2,1
1,1,529663,38.2,64,28,1,1,1,3,1,,,,4,4,2208,0,0,1,1,1
1,1,529796,,100,30,3,3,4,5,4,4,3,3,4,4,1124,0,0,1,2,1
2,1,528812,,104,24,4,3,3,4,4,3,,3,,2,7111,0,0,1,2,3
2,1,529493,38.3,112,16,,3,5,,,1,1,2,,5,5205,0,0,2,1,3
1,1,533847,37.8,72,,,3,,5,3,1,,1,1,1,3111,0,0,1,2,1
2,1,528996,38.6,52,,1,1,1,3,3,2,1,1,1,3,0,0,0,2,1,1
1,1,529498,,88,,3,3,6,5,3,3,1,3,4,5,4205,0,0,1,2,2
2,1,530301,38,60,12,3,1,3,3,3,1,1,1,2,2,3111,0,0,2,2,1
1,1,534069,,120,,3,4,4,4,4,4,1,1,,5,3205,0,0,1,2,3
1,1,535407,35.4,140,24,3,3,4,4,4,,2,1,,5,3205,0,0,1,2,3
2,1,529827,,120,,4,3,4,5,4,4,1,1,4,5,3205,0,0,1,2,2
1,1,529888,37.9,60,15,3,,4,5,4,4,2,2,4,5,2305,0,0,1,1,1
2,1,529821,37.5,48,16,1,1,1,1,1,1,1,1,1,,0,0,0,2,2,1
1,1,528890,38.9,80,44,3,3,3,2,3,3,2,2,3,1,7111,0,0,1,2,2
2,1,529642,37.2,84,48,3,3,5,4,1,2,1,2,2,1,4300,0,0,2,1,2
2,1,529766,38.6,46,,1,1,2,1,3,2,1,1,,2,3111,0,0,2,1,1
1,1,527706,37.4,84,36,1,,3,3,3,2,,,4,5,7209,0,0,1,1,2
2,1,529483,,,,1,1,3,1,3,1,,,2,2,3111,0,0,2,2,1
2,1,529461,40.3,114,36,3,3,1,2,3,3,2,1,1,5,7400,0,0,1,1,3
1,9,5282839,38.6,160,20,3,,5,3,3,4,3,,4,,7111,0,0,1,1,2
1,1,529640,,64,36,2,,2,5,3,3,2,2,,,3209,0,0,1,2,2
1,1,528298,,,20,4,3,3,5,4,3,2,,4,4,3205,0,0,1,1,2
2,1,528904,,96,,3,3,3,5,4,4,1,2,4,5,4205,0,0,1,2,2
2,1,530438,37.8,48,32,1,1,3,2,1,,1,1,4,5,2124,0,0,2,2,1
2,1,527957,38.5,60,,2,2,1,1,2,2,2,1,1,1,0,0,0,2,2,1
1,1,528630,37.8,88,22,2,1,2,3,,,2,,4,,3205,0,0,1,1,2
2,1,534293,38.2,130,16,4,3,4,2,4,4,1,1,,,2209,1400,0,2,2,3
1,1,529667,39,64,36,3,1,4,3,3,2,1,2,4,5,2113,0,0,1,1,1
1,1,534885,,60,36,3,1,3,3,3,2,1,1,3,4,2208,0,0,1,2,1
2,1,534784,37.9,72,,1,1,5,3,3,1,1,3,3,4,2322,0,0,1,2,1
2,1,528931,38.4,54,24,1,1,1,1,3,1,2,1,3,2,3111,0,0,2,1,1
2,1,529777,,52,16,1,,3,,,,2,3,,,2124,0,0,2,2,1
2,1,530276,38,48,12,1,1,1,1,3,,1,1,3,2,3111,0,0,2,1,1
2,1,528214,37,60,20,3,,,3,,3,2,2,4,4,2209,0,0,1,1,3
1,1,529424,37.8,48,28,1,1,1,1,2,1,2,,1,1,0,0,0,2,1,1
1,1,5299253,37.7,56,,,,,,,,,,,,2113,0,0,1,2,2
1,1,528469,38.1,52,24,1,1,5,4,3,1,2,3,1,,2112,0,0,1,1,2
1,9,534092,39.7,100,,3,3,5,2,3,,,,,,1400,0,0,1,2,3
1,1,534615,37.6,38,20,3,3,1,3,3,2,,,3,,3205,0,0,1,2,1
2,1,534753,38.7,52,20,2,,1,1,1,1,1,1,1,1,0,0,0,2,2,1
1,1,530693,,,,3,3,3,5,3,3,3,2,4,5,3025,0,0,1,2,2
1,1,527463,37.5,96,18,1,3,6,3,4,2,2,3,,4,2208,0,0,1,1,1
1,1,527518,36.4,98,35,3,3,4,4,3,2,,,4,4,2205,0,0,1,1,2
1,1,534756,37.3,40,,,3,1,2,3,2,3,1,3,5,3111,0,0,1,2,1
1,9,5290759,38.1,100,80,3,1,2,3,4,1,,,1,,3111,0,0,1,2,1
1,1,5279822,38,,24,3,3,6,5,,4,1,1,,,3205,0,0,1,2,2
1,1,529849,37.8,60,80,1,3,2,2,3,3,,2,4,,5206,0,0,1,1,1
2,1,529304,38,54,30,2,3,3,3,1,2,2,2,,4,400,0,0,2,2,1
1,1,529388,,88,40,3,3,4,5,4,3,3,,4,5,4205,0,0,1,1,2
2,1,529703,39,64,40,1,1,5,3,3,2,2,1,3,3,5000,0,0,2,1,1
2,1,535381,38.3,42,10,1,1,1,1,1,1,,,,,0,0,0,2,2,1
2,1,534197,38,52,16,,,,2,,,,3,1,1,2322,0,0,1,2,1
2,1,529461,40.3,114,36,3,3,1,2,3,3,2,1,1,5,3205,0,0,1,1,2
2,1,530251,38.8,50,20,3,1,1,1,1,1,2,1,3,1,0,0,0,2,2,1
2,1,530310,,,,3,3,1,5,3,3,1,1,4,5,3205,0,0,1,2,2
2,1,528729,37.5,48,30,4,1,3,,2,1,1,1,1,1,0,0,0,2,2,1
1,1,535158,37.3,48,20,,1,2,3,3,3,2,1,3,5,3205,0,0,1,2,1
2,1,530319,,84,36,,,3,,3,1,2,1,3,2,3111,0,0,1,2,1
1,1,534145,38.1,88,32,3,3,4,2,3,3,,3,4,5,3205,0,0,2,2,3
2,1,534135,37.7,44,40,2,1,3,1,3,2,1,1,1,5,0,0,0,2,2,1
2,1,530002,39.6,108,51,3,3,6,2,4,3,1,2,3,5,4300,0,0,2,1,1
1,1,535364,38.2,40,16,3,3,1,1,3,,,,1,1,0,0,0,2,2,1
1,1,534899,,60,20,4,3,4,5,4,,,1,4,5,3205,0,0,1,2,3
2,1,534938,38.3,40,16,3,,1,2,,,,,,,0,0,0,2,2,1
1,9,5292489,38,140,68,1,1,1,3,3,2,,,2,1,7111,0,0,1,2,1
1,1,527563,37.8,52,24,1,3,3,4,4,1,2,3,2,5,5400,0,0,1,2,2
1,1,530381,,70,36,1,,3,2,3,2,2,,4,5,31110,0,0,1,2,1
1,1,528668,38.3,52,96,,3,3,,,,1,1,1,,3209,0,0,1,1,1
2,1,529764,37.3,50,32,1,1,3,1,3,2,,,1,,0,0,0,2,2,1
1,1,533696,38.7,60,32,4,3,2,4,4,4,,,4,5,3205,0,0,1,2,3
1,9,5297379,38.4,84,40,3,3,2,3,3,3,1,1,,,2205,0,0,1,1,2
1,1,527544,,70,16,3,4,5,2,3,2,2,1,4,5,2112,0,0,1,2,2
1,1,533736,38.3,40,16,3,,,1,3,2,,,,,3111,7111,0,1,2,1
1,1,534963,,40,,2,1,1,1,3,1,1,1,,5,3111,0,0,1,2,1
1,1,532349,38.4,44,24,3,,4,5,4,3,2,1,4,5,3205,0,0,1,2,1
2,1,533723,,,40,3,1,1,3,3,2,,,,,0,0,0,2,2,1
1,1,535208,38,44,12,1,1,1,3,3,3,2,1,4,5,3205,3111,0,1,2,1
2,1,5290482,39.5,,,3,3,4,3,4,3,,3,4,5,4205,0,0,1,2,3
1,1,533983,36.5,78,30,1,,1,5,3,1,,1,,,3112,6112,0,1,2,1
2,1,535166,38.1,56,20,2,1,2,1,3,1,1,1,,,0,0,0,2,2,1
1,1,528682,39.4,54,66,1,1,2,2,3,2,1,1,3,4,2206,0,0,1,1,1
1,1,534556,38.3,80,40,,,6,4,3,1,,2,1,4,2208,0,0,1,2,3
2,1,534579,38.7,40,28,2,1,1,3,1,1,,,1,,0,0,0,2,2,1
1,1,530360,38.2,64,24,1,1,3,4,4,3,2,1,4,4,3205,0,0,1,1,2
2,1,529840,37.6,48,20,3,1,4,1,1,3,2,1,1,1,2205,0,0,1,2,3
1,1,528461,38,42,68,4,1,1,3,3,2,2,2,4,4,2205,0,0,1,2,1
1,1,530384,38.7,,,3,1,3,5,4,2,,,,,31110,0,0,1,2,1
1,1,5262541,37.4,50,32,3,3,,4,4,1,2,1,1,,2208,0,0,1,1,1
1,1,535330,37.4,84,20,,,3,2,3,3,,,,,2208,0,0,2,2,3
2,1,530670,37.6,88,36,3,1,1,3,3,2,1,3,,,1400,0,0,1,2,2
,1,534572,38,48,20,3,1,3,4,3,1,2,1,3,5,3111,0,0,1,2,
2,1,530294,37.9,40,24,1,1,1,2,3,1,,,,3,400,0,0,1,2,1
1,1,527524,,100,,3,,4,5,4,,2,,2,,4205,0,0,1,2,2
1,9,5287179,38.1,136,48,3,3,3,5,1,3,2,2,2,,2205,0,0,1,1,2
1,1,530693,,,,3,3,3,5,3,3,3,2,4,5,3025,0,0,1,2,2
1,1,534324,38,48,,1,1,1,1,2,4,2,2,4,5,3111,0,0,1,2,1
2,1,532349,38,56,,1,2,3,1,1,1,1,1,1,1,0,0,0,2,2,1
2,1,534491,38,60,32,1,1,,3,3,,1,1,,,0,0,0,2,2,1
1,1,529960,38.1,44,9,3,1,1,2,2,1,1,1,4,5,5124,0,0,2,2,1
1,1,530402,,120,,4,3,6,5,4,4,,,4,5,3205,0,0,1,1,2
1,1,529424,37.8,48,28,1,1,1,1,2,1,2,,1,1,0,0,0,2,1,1
1,1,534519,37.1,84,40,3,3,6,2,4,4,3,2,4,5,1400,0,0,2,2,3
2,1,535246,,80,32,3,3,2,2,3,3,2,1,3,,0,0,0,1,2,1
1,1,534115,38.2,48,,1,3,3,3,4,4,1,3,4,5,3111,0,0,1,2,1
2,1,530001,38,44,12,2,1,3,3,4,3,1,2,1,4,2209,0,0,1,2,2
1,1,529272,38.3,132,,,3,6,2,4,2,2,3,4,4,2112,0,0,1,1,1
2,1,535314,38.7,48,24,,,,1,1,,1,1,1,,0,0,0,2,2,1
