Store,DayOFridayWednesdayeek,Date,Sales,Customers,Popularity,StateHoliday,SchoolHoliday,IsStoreOpen,PopularityLevel,Store_is_Closed,PromoRunning
Store_ID 785,Tuesday,Jan-13,0,0,0,Public Holiday,School Holiday,Store Closed,Low Popularity,1,0
Store_ID 785,Wednesday,Jan-13,3418,373,0.0061,No Holiday,School Holiday,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Thursday,Jan-13,3731,365,0.0065,No Holiday,School Holiday,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Friday,Jan-13,4355,439,0.0091,No Holiday,School Holiday,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Saturday,Jan-13,5181,509,0.0126,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Sunday,Jan-13,0,0,0,No Holiday,Schools Open,Store Closed,Low Popularity,1,0
Store_ID 785,Monday,Jan-13,6824,609,0.0198,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Tuesday,Jan-13,5248,492,0.0123,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Wednesday,Jan-13,4670,397,0.0088,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Thursday,Jan-13,4818,453,0.0104,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Friday,Jan-13,5690,511,0.0138,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Saturday,Jan-13,5134,506,0.0124,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Sunday,Jan-13,0,0,0,No Holiday,Schools Open,Store Closed,Low Popularity,1,0
Store_ID 785,Monday,Jan-13,3251,362,0.0056,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Tuesday,Jan-13,2856,298,0.0041,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Wednesday,Jan-13,2816,255,0.0034,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Thursday,Jan-13,3814,383,0.007,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Friday,Jan-13,3951,416,0.0078,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Saturday,Jan-13,5024,491,0.0117,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Sunday,Jan-13,0,0,0,No Holiday,Schools Open,Store Closed,Low Popularity,1,0
Store_ID 785,Monday,Jan-13,6403,544,0.0166,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Tuesday,Jan-13,5083,449,0.0109,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Wednesday,Jan-13,4142,381,0.0075,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Thursday,Jan-13,5164,474,0.0117,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Friday,Jan-13,5289,506,0.0127,No Holiday,Schools Open,Store Open with Promo,Low Popularity,0,1
Store_ID 785,Saturday,Jan-13,5153,491,0.012,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Sunday,Jan-13,0,0,0,No Holiday,Schools Open,Store Closed,Low Popularity,1,0
Store_ID 785,Monday,Jan-13,3287,357,0.0056,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Tuesday,Jan-13,3006,298,0.0043,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Wednesday,Jan-13,3738,321,0.0057,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Thursday,Jan-13,5011,464,0.0111,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Friday,Feb-13,4175,405,0.0081,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Saturday,Feb-13,5433,528,0.0137,No Holiday,Schools Open,Store Open without Promo,Low Popularity,0,0
Store_ID 785,Sunday,Feb-13,0,0,0,No Holiday,Schools Open,Store Closed,Low Popularity,1,0
